"TH_T_U_UID","TERM","CLA_GR_UID","BROAD_TERM_U_UID","TOP_TERM_U_UID"
202686,"BULLDOZERS",77,123781,123898
202687,"LANDING CRAFT",77,123938,123898
202688,"LANDING CRAFT",77,152103,123898
197528,"AIRCRAFT",77,123781,123898
197529,"TANKS",77,123938,123898
197530,"TANKS",77,152103,123898
197531,"TANK COMPONENTS",77,197529,123898
197532,"TANK COMPONENTS",77,197530,123898
202885,"HORSE TACK",77,152203,123898
202886,"HAND BELLS",77,182166,123898
202887,"HAND BELLS",77,152203,123898
202889,"BEADS",77,152203,123898
202961,"MUSKETS",77,123767,123898
205552,"LIMES",77,123665,123898
205553,"TELESCOPES",77,152203,123898
206579,"MANURE",77,123753,123898
210615,"INTERMODAL CONTAINERS",77,123844,123898
207036,"PRISONERS OF WAR",77,123940,123898
211141,"CHOCOLATE",77,123586,123898
210718,"DONKEYS",77,123585,123898
